No,Site Name,Structure Type,Country,Nearest Town,Latitude,Longitude,UTM Zone,UTM Easting,UTM Northing ,Start_Year,Used_in_analysis,Source_Type,Language,Reference
77,Alberite Dolmen,Neolithic site,Spain,Cadiz,36.816122,-5.636689,30S,264810,4077719,-5500,Yes,SC/ER,EN/ES,Yes (No. 77)
78,Dolmen del Bujeo,Dolmen,Spain,Andalucía ,36.136664,-5.699708,30S,257075,4002483,-5500,Yes,SC,EN,
79,El Collado,Dolmen,Spain,Caceres,40.232,-6.225,29T,736085,4457202,-5500,Yes,SC,EN,
80,Buenamadre,Menhir,Spain,Salamanca,40.867035,-6.222674,29T,734059,4527710,-5500,Yes,SC,EN,
81,Villavieja,Neolithic site,Spain,Salamanca ,40.885869,-6.472485,29T,712944,4529163,-5300,Yes,SC/ER,EN/ES,Yes (No. 81)
82,Pedrafita en Aquis Querquernis,Menhir,Spain,Galicia,41.971651,-7.985002,29T,584097,4647127,-5200,Yes,SC,EN,
83,Errolan Dolmen,Dolmen,Spain,Baztan,43.124832,-1.444873,30T,626500,4775851,-5200,Yes,SC,EN,
84,Urkitze Menhir,Menhir,Spain,Baztan,43.109846,-1.506345,30T,621529,4774096,-5200,Yes,SC,EN,
85,Tranpako Lepoa Dolmen 1,Neolithic site,Spain,Baztan,43.102125,-1.493039,30T,622627,4773258,-5200,Yes,SC/ER,EN/ES,Yes (No. 85)
86,Errolan Cromlech,Stone circle,Spain,Baztan,43.124957,-1.444953,30T,626493,4775865,-5200,Yes,SC,EN,
87,El Kadada Neolithic Tomb,Dolmen,Sudan,Shendi ,16.69139,33.43417,36Q,546290,1845466,-6400,No,SC,EN,
88,Stenstugan (Stone Cottage) ,Dolmen,Sweden,Varberg,57.131709,12.353167,33V,339802,6335156,-4000,Yes,SC,EN,
89,Slummesten ,Menhir,Sweden,Varberg,57.123611,12.391667,33V,342097,6334165,-4000,Yes,SC,EN,
90,Veddige,Neolithic site,Sweden,Veddige ,57.2553,12.2994,33V,337094,6349035,-4000,Yes,SC,EN/SV,Yes (No. 90)
91,Munkakyrkan,Stone circle,Sweden,Falkenberg,56.913406,12.673526,33V,358359,6310157,-4000,Yes,SC,EN,
92,Rujm el-Hiri ,Stone circle,Syria, Golan Heights area ,32.908669,35.800976 ,36S,761968,3644643,-6600,No,SC,EN,
93,Dolmen North Lalapasa,Dolmen,Turkey,Lalapasa ,41.851688,26.747417,35T,479033,4633340,-6400,Yes,SC,EN,
94,Hacidanisment Menhir,Menhir,Turkey,Lalapasa,41.8948,26.802822,35T,483643,4638115,-6400,Yes,SC,EN,
95, Kirikkoy Stones ,Stone circle,Turkey,Edirne,41.808606,26.638665,35T,469986,4628589,-6400,Yes,SC,EN,
96,Asagipinar,Neolithic site,Turkey,Kırklareli ,41.721356,27.225966,35T,518795,4618864,-6400,Yes,SC/ER,EN/TR,Yes (No. 96)
97, Dolmens Inkerman 2nd Cardon ,Dolmen,Ukraine,Sevastopol ,44.616901,33.690607,36T,554792,4940626,-5000,Yes,SC,EN,
98,Cromlech Alushta,Stone circle,Ukraine,Alushta ,44.670441,34.380301,36T,609411,4947268,-5000,Yes,SC,EN,
